7938
(4429,2578)
(5251,2268)
(3491,3259)
(5680,3203)
(4608,2208)
(3191,1963)
(4728,5302)
(4826,2802)
(787,1821)
(6590,5487)
(3238,6031)
(1559,6429)
(560,2923)
(3069,3516)
(141,4297)
(5810,568)
(1530,6846)
(4921,6849)
(4480,6338)
(1766,1611)
(3199,2635)
(7065,5976)
(5214,2112)
(1365,317)
(2815,203)
(6808,3507)
(5063,3803)
(406,2905)
(3944,4240)
(2157,3104)
(412,5097)
(1449,4418)
(1531,3983)
(6906,4962)
(6183,4986)
(4588,76)
(6503,5582)
(4678,5497)
(178,5701)
(4438,2874)
(5896,2702)
(6218,4443)
(6777,4518)
(18,6932)
(36,2257)
(6537,2653)
(3093,3240)
(939,24)
(3161,3649)
(4830,3919)
(6004,1477)
(3232,271)
(1179,5352)
(6172,3407)
(781,638)
(4712,6843)
(4410,6149)
(4190,4904)
(47,5592)
(5804,3288)
(1010,2907)
(4675,3013)
(3246,5596)
(3766,1982)
(1646,2757)
(1630,2935)
(2479,3362)
(4030,918)
(5598,6926)
(5931,3719)
(5740,1131)
(1976,5631)
(4197,216)
(7095,3589)
(5672,5428)
(1033,322)
(4553,3842)
(471,5372)
(3261,6613)
(7072,1590)
(2003,5442)
(293,708)
(2326,2795)
(1331,1536)
(6685,3961)
(3230,3383)
(365,6353)
(1750,1195)
(4409,2918)
(5001,6855)
(6663,5107)
(2847,3176)
(624,2496)
(1732,1628)
(4797,5718)
(170,2108)
(2735,6009)
(6116,6751)
(6563,1116)
(1598,3779)
(716,1029)
(6969,696)
(2061,4699)
(2011,3079)
(3020,4081)
(6741,2263)
(6441,3636)
(4564,2211)
(6327,255)
(3366,4867)
(6995,1308)
(1267,944)
(1017,1930)
(5796,436)
(5868,349)
(3673,1182)
(90,5775)
(1266,2866)
(4302,92)
(1979,6547)
(6533,6445)
(5857,1345)
(4585,3140)
(4974,2896)
(2105,1060)
(6328,1256)
(5787,302)
(6295,2365)
(1529,4439)
(1906,6779)
(5192,3373)
(1367,931)
(4468,823)
(5930,2288)
(4683,5004)
(4194,1692)
(5830,6323)
(1560,1206)
(1673,1484)
(273,353)
(2030,6847)
(4492,1500)
(83,1291)
(2591,1359)
(6402,1438)
(1997,6977)
(4535,4785)
(4172,795)
(3008,332)
(404,406)
(5396,4274)
(4509,5919)
(2299,6584)
(5575,1234)
(89,3897)
(5503,642)
(3719,5706)
(396,1914)
(979,5441)
(5806,6111)
