26098
(1,0,-0)
(2,1168.21,1098.27)
(3,6171.76,-1266.4)
(4,879.885,596.227)
(5,2022.97,438.553)
(6,-870.767,969.509)
(7,2206.33,23.3509)
(8,2699.7,715.095)
(9,2267.38,-382.511)
(10,4958.85,-2312.63)
(11,1932.23,1000.31)
(12,4553.43,-192.701)
(13,2272.82,1486.56)
(14,-100.743,1425.74)
(15,4081.19,32.9137)
(16,3846.01,-553.751)
(17,2461.08,999.42)
(18,2411.37,1440.2)
(19,6220.91,-1313.88)
(20,2602.74,327.024)
(21,3804.87,-61.9356)
(22,6065.02,-159.676)
(23,-1686.83,1303.32)
(24,1366.59,152.671)
(25,1492.68,1299.31)
(26,5925.8,-805.941)
(27,312.235,322.799)
(28,-1482.34,-853.199)
(29,199.039,426.989)
(30,-573.877,-1486.79)
(31,6417.17,-1022.21)
(32,2608.3,266.089)
(33,234.288,737)
(34,2895.18,1105.83)
(35,6157.98,109.638)
(36,2336.54,339.367)
(37,2065,-936.15)
(38,5212.04,-843.858)
(39,2129.94,226.726)
(40,2960.23,620.912)
(41,-1084.93,-1220.14)
(42,1418.4,747.119)
(43,1052.68,1029.67)
(44,2758.19,1234.26)
(45,3393,778.698)
(46,2249.58,1414.96)
(47,5684.06,-1272.85)
(48,2408.82,-2071.34)
(49,5024.68,1341.57)
(50,-1889.54,-851.197)
(51,3235.11,-2017.08)
(52,-1606.88,1293.31)
(53,-136.214,1590.87)
(54,2943.77,432.659)
(55,1414.73,1054.91)
(56,6170.1,-130.876)
(57,2835.03,1099.05)
(58,-670.728,959.723)
(59,-1722.85,-677.399)
(60,160.121,308.9)
(61,4233.08,-231.174)
(62,6604.87,861.538)
(63,-1060.02,1110.39)
(64,3194.07,688.074)
(65,2087.46,-424.32)
(66,4616.7,-856.423)
(67,-906.35,338.366)
(68,2551.15,348.263)
(69,2419.6,666.169)
(70,953.163,-1101.27)
(71,294.222,868.988)
(72,-669.727,-1271.07)
(73,1483.56,669.727)
(74,2821.68,-1820.26)
(75,268.202,94.2933)
(76,628.919,787.927)
(77,-378.619,1671.37)
(78,-95.2941,381.287)
(79,2816.23,665.946)
(80,591.223,787.038)
(81,4873.67,1268.73)
(82,5228.27,627.251)
(83,1796.13,1378.82)
(84,489.591,698.527)
(85,2873.39,907.239)
(86,329.248,-875.771)
(87,555.419,667.392)
(88,6247.6,-1266.95)
(89,-738.001,-2093.47)
(90,2884.51,1033.45)
(91,-1767.55,646.376)
(92,3491.85,736.444)
(93,2187.65,706.421)
(94,2960.34,-1801.8)
(95,-144.442,1593.76)
(96,2292.39,1217.58)
(97,4065.73,-33.5809)
(98,-349.263,1503.8)
(99,6230.25,993.971)
(100,357.492,-181.025)
(101,3112.12,389.516)
(102,5650.93,-1541.38)
(103,1721.63,258.417)
(104,1026.66,1014.65)
(105,-324.689,1515.03)
(106,6813.25,-262.309)
(107,4961.3,-2352.22)
(108,2657,566.872)
(109,522.616,262.976)
(110,2538.25,372.169)
(111,5194.58,680.179)
(112,3414.69,-1223.81)
(113,2073.12,-349.486)
(114,611.461,353.933)
(115,603.121,935.372)
(116,-514.054,1106.72)
(117,6312.87,434.55)
(118,1995.06,543.076)
(119,2323.2,345.26)
(120,357.158,920.583)
(121,2275.49,1266.73)
(122,2464.41,178.245)
(123,1896.1,1348.46)
(124,-1789.02,-1210.36)
(125,2415.15,1396.61)
(126,156.34,787.705)
(127,3348.75,640.149)
(128,-1474.22,-860.426)
(129,2910.08,607.903)
(130,2971.46,882.554)
(131,-153.894,683.07)
(132,-929.367,-706.977)
(133,299.003,683.738)
(134,2130.16,1287.08)
(135,2020.08,1480.56)
(136,2534.91,232.397)
(137,6370.13,-1023.1)
(138,3778.96,533.624)
(139,2723.83,1316.77)
(140,463.683,-125.984)
(141,6224.25,588.332)
(142,436.218,-379.842)
(143,4448.13,645.042)
(144,-1800.36,-899.345)
(145,-232.842,1440.31)
(146,326.024,-438.775)
(147,5210.48,564.759)
(148,1616.89,-810.166)
(149,1481.34,-1668.15)
(150,389.627,-360.605)
(151,2890.51,997.418)
(152,-985.409,-687.629)
(153,5631.47,-1060.02)
(154,510.941,300.337)
(155,1828.6,1486.23)
(156,1502.13,1203.35)
(157,4325.37,-956.61)
(158,-987.633,1012.99)
(159,5653.26,-1110.95)
(160,2668.01,196.148)
(161,256.86,-470.466)
(162,872.769,606.568)
(163,-802.049,-269.759)
(164,-243.739,-1900.32)
(165,2627.31,679.512)
(166,1818.48,1348.91)
(167,3716.25,497.597)
(168,1001.76,630.475)
(169,3196.08,846.082)
(170,241.071,893.229)
(171,5688.18,-2047.77)
(172,-88.1776,394.964)
(173,2715.6,1370.26)
(174,2768.98,126.206)
(175,5981.73,895.23)
(176,4459.47,357.603)
(177,1110.61,409.42)
(178,304.896,684.738)
(179,-1502.47,-777.364)
(180,-1704.84,-1112.39)
(181,1622.78,-625.916)
(182,756.793,611.239)
(183,2736.28,398.411)
(184,3257.79,811.501)
(185,2196.77,-160.677)
(186,124.094,-1059.91)
(187,5543.18,43.0324)
(188,6378.7,-35.4712)
(189,772.36,-1320.11)
(190,2883.28,1112.28)
(191,3419.24,325.579)
(192,1570.85,1040.01)
(193,3622.84,322.688)
(194,1943.13,920.583)
(195,1574.63,-144.331)
(196,2834.03,1002.53)
(197,2383.69,1300.65)
(198,1933.68,1496.79)
(199,5147.99,-88.2888)
(200,2888.62,414.757)
(201,524.284,-469.465)
(202,2389.47,1394.5)
(203,2198.66,1506.58)
(204,733.775,336.921)
(205,-1001.98,-1883.09)
(206,4350.39,-953.941)
(207,1520.37,1210.02)
(208,401.858,612.906)
(209,-322.688,-699.527)
(210,6529.59,783.368)
(211,793.153,654.16)
(212,2529.8,1139.41)
(213,2341.21,202.375)
(214,2108.37,1247.72)
(215,2974.35,580.104)
(216,572.32,404.527)
(217,3991.12,-1752.54)
(218,3140.48,-814.392)
(219,-970.954,1242.49)
(220,6382.03,200.818)
(221,4755.25,-660.609)
(222,-717.541,291.108)
(223,2234.24,-1779.79)
(224,2297.18,1113.84)
(225,-261.753,1610.44)
(226,-209.269,1563.51)
(227,3055.64,650.157)
(228,6279.18,501.044)
(229,2464.64,874.326)
(230,533.624,316.016)
(231,2526.02,862.761)
(232,4234.3,562.313)
(233,431.103,536.182)
(234,3321.39,517.501)
(235,685.517,229.729)
(236,318.351,-1637.46)
(237,3218.87,1082.59)
(238,189.921,839.633)
(239,2000.84,1503.69)
(240,2860.04,593.892)
(241,1059.35,-2260.82)
(242,2852.15,1072.48)
(243,2827.13,638.592)
(244,2821.02,1287.08)
(245,3276.58,866.876)
(246,-1187.34,-1832.71)
(247,-907.128,1628)
(248,-176.244,1457.99)
(249,2951.89,1245.27)
(250,4992.1,-974.068)
(251,-623.248,-1212.47)
(252,-910.686,1178.22)
(253,3282.81,837.187)
(254,1732.75,1474.11)
(255,4218.29,1551.39)
(256,1669.15,157.23)
(257,2664.23,528.621)
(258,2413.93,-357.492)
(259,2630.65,1076.59)
(260,2614.19,1090.16)
(261,1913,923.919)
(262,60.3788,49.5929)
(263,2930.54,327.58)
(264,-521.838,1064.47)
(265,2578.28,381.843)
(266,-233.732,1437.08)
(267,5076.49,-1641.46)
(268,1786.24,1010.54)
(269,3462.28,550.304)
(270,4527.52,-179.58)
(271,511.497,-511.941)
(272,1557.95,-138.549)
(273,-210.158,1349.13)
(274,6911.88,-232.953)
(275,1971.93,727.882)
(276,5321.46,-337.254)
(277,538.295,-2511.56)
(278,2218.78,1360.47)
(279,-1000.64,1066.25)
(280,-219.61,-1837.27)
(281,6655.57,655.383)
(282,5651.82,-1063.25)
(283,911.687,-2149.73)
(284,4746.58,-946.491)
(285,-863.54,-1327.33)
(286,1633.68,-690.52)
(287,5465.01,596.561)
(288,6219.91,594.782)
(289,449.783,-2688.92)
(290,-545.411,358.715)
(291,5260.08,-1827.49)
(292,6719.51,-1042.56)
(293,2126.49,-1142.75)
(294,2134.61,1005.09)
(295,3762.84,1059.24)
(296,2123.04,251.745)
(297,1179.11,1064.8)
(298,462.126,896.787)
(299,1543.83,1031.44)
(300,5159.11,287.995)
(301,2518.12,1188.67)
(302,2826.8,1114.73)
(303,3438.26,773.694)
(304,2300.85,1451.87)
(305,5845.07,-224.836)
(306,2016.63,923.474)
(307,2282.72,1429.19)
(308,2200.77,17.5688)
(309,1822.04,1360.25)
(310,3122.35,-2075.68)
(311,2485.1,-213.049)
(312,2529.46,221.611)
(313,1313.66,-735.666)
(314,2931.43,1192.68)
(315,1423.07,790.596)
(316,-307.343,1649.13)
(317,-1597.87,231.841)
(318,2998.15,814.725)
(319,3003.49,1164.43)
