4237
(761,2782)
(1014,1719)
(633,1366)
(3094,3679)
(3899,1571)
(2625,1260)
(3932,1274)
(3674,3616)
(484,3361)
(639,2724)
(2031,2179)
(1809,548)
(3552,2549)
(3394,2759)
(2210,2751)
(781,2318)
(1040,1998)
(2885,1236)
(3679,2985)
(2472,3420)
(3241,268)
(2276,1579)
(2026,3183)
(343,1540)
(257,3919)
(572,1859)
(3002,613)
(1265,3753)
(296,3152)
(1197,215)
(2370,2005)
(1193,615)
(3715,1340)
(381,1400)
(3483,2301)
(3826,486)
(826,931)
(396,1122)
(758,1217)
(3605,3716)
(497,573)
(3730,2314)
(2154,3295)
(1400,3689)
(1498,3671)
(836,3025)
(1559,3963)
(1006,3877)
(2680,554)
(2243,2299)
(556,1772)
(2467,576)
(2270,3653)
(102,2568)
(1674,2026)
(3748,2009)
(2032,2246)
(1928,2324)
(2226,51)
(3576,3199)
(2136,388)
(3190,3632)
(456,1179)
(1289,1368)
(1593,1133)
(2123,463)
(1727,3768)
(340,37)
(2246,1197)
(1038,3762)
(1569,2119)
(1947,538)
(2143,1330)
(1287,1463)
(3315,2110)
(1799,709)
(721,110)
(2450,2012)
(37,2837)
(1338,1703)
(103,1056)
(3848,562)
(2344,1351)
(227,3803)
(3663,639)
(1056,1360)
(1130,1595)
(1764,2196)
(1312,193)
(2064,1022)
(1198,1375)
(2755,1895)
(3862,2041)
(3307,3092)
(3031,2349)
(3812,190)
(1491,1365)
(2171,1174)
(2487,1611)
(1734,2952)
(2090,2269)
(608,3066)
(782,2117)
(1045,2871)
(129,1754)
(3938,326)
(2791,1147)
(3534,2703)
(2031,2357)
(838,3826)
(1233,1505)
(3690,3864)
(1295,3471)
(3487,3937)
(3272,2118)
(1722,387)
(913,523)
(2569,1000)
(2264,850)
(2496,1436)
(3759,1902)
(41,3576)
(3864,3923)
(2112,1163)
(3937,1249)
(1062,693)
(3531,2168)
(1921,1808)
(1915,863)
(387,144)
(447,650)
(3882,3301)
(474,2327)
(1204,3431)
(301,2094)
(1298,454)
(476,1156)
(1445,1347)
(1460,1767)
(693,109)
(624,637)
(2844,3624)
(395,248)
(811,1785)
(261,3575)
(3294,2304)
(986,2875)
(3106,3561)
(2696,3333)
(3198,1577)
(1843,3055)
(3930,54)
(317,353)
(2893,2072)
(3905,2487)
(2583,1389)
(3282,2599)
(2206,2285)
(1761,1542)
(1214,3397)
(372,2647)
(358,2214)
(2024,1484)
(1262,934)
(3798,1285)
(332,947)
(3500,1977)
(3180,3589)
(3895,2227)
(3178,3928)
(1542,1481)
(473,684)
(61,317)
(2296,1153)
(336,1570)
(2321,1683)
(1916,3046)
(921,748)
(514,3178)
(3246,3706)
(2474,3174)
(1543,1544)
(3724,3939)
(2706,2402)
(2339,3630)
(148,90)
(3255,3541)
(2228,2750)
(2184,1042)
(1044,1646)
(1494,245)
(1002,1417)
(168,442)
(2718,2795)
(1225,1611)
(2241,2812)
(3555,2079)
(127,1898)
(2410,3638)
(2862,3401)
(754,1293)
(2958,510)
(3215,3275)
(2590,2626)
(1343,1435)
(3049,1506)
(72,3688)
(3299,1176)
(1998,2069)
(2985,1434)
(1401,577)
(669,2097)
(1370,2687)
(3893,1831)
(2159,1304)
(3791,3054)
(1226,1835)
(532,1663)
