17772
(1,0,-0)
(2,-6069.13,6117.61)
(3,-6441.63,1300.42)
(4,-3570.02,7669.56)
(5,-7635.87,1886.2)
(6,-6620.32,-34.0256)
(7,-6143.19,-147.222)
(8,-3357.64,4734.46)
(9,-7485.09,4533.42)
(10,-2223.23,5683.28)
(11,-6213.68,5135.76)
(12,-5113.85,4735.46)
(13,-764.91,4469.15)
(14,-3299.04,4055.28)
(15,-1817.37,4602.47)
(16,-6319.21,4183.49)
(17,-3595.6,1566.63)
(18,-7856.37,981.406)
(19,-4572.78,2916.98)
(20,-1404.95,3936.19)
(21,-1185.45,221.056)
(22,-5564.86,4996.66)
(23,-6938.9,4740.8)
(24,-5266.97,356.825)
(25,-829.514,1978.05)
(26,-6643.79,2150.95)
(27,-7376.45,2092.35)
(28,-7512.66,3505.98)
(29,76.3909,1486.9)
(30,-1266.4,1638.68)
(31,-3364.54,7422.04)
(32,-5882.43,5610.34)
(33,-4214.73,4355.17)
(34,-7266.92,7182.41)
(35,-7086.34,3048.96)
(36,-247.075,3707.68)
(37,-6260.72,4292.68)
(38,-6476.77,4273.67)
(39,-2960.9,722.656)
(40,-721.544,519.169)
(41,-6117.83,4710.66)
(42,-3001.93,4325.93)
(43,-4470.7,3333.29)
(44,-5063.82,233.843)
(45,-3425.92,1586.53)
(46,-1179.78,3693.9)
(47,-579.659,4409.43)
(48,-6139.18,74.8342)
(49,-693.856,7041.86)
(50,-4057.28,1800.25)
(51,156.34,7343.98)
(52,-5903.56,5371.38)
(53,373.837,702.307)
(54,-4281.34,-356.38)
(55,-4013.25,-143.997)
(56,-6747.42,3216.76)
(57,-7441.05,3223.65)
(58,175.688,7093.24)
(59,-2110.7,4489.83)
(60,-5254.41,2085.46)
(61,-815.392,3463.72)
(62,-8150.25,418.982)
(63,87.0656,3358.98)
(64,-5632.13,1979.6)
(65,-3307.94,7559.92)
(66,-4031.26,5207.04)
(67,80.1715,3312.94)
(68,-4646.95,3629.51)
(69,-1512.14,5619.46)
(70,-5749.78,4765.48)
(71,-1865.85,2381.02)
(72,-2960.79,3241.11)
(73,-3336.85,6068.91)
(74,-5650.7,7403.14)
(75,-512.942,6711.06)
(76,-4692.31,3884.26)
(77,-2607.74,6746.2)
(78,-4206.5,2280.16)
(79,-3826.77,-405.973)
(80,-4159.69,4331.93)
(81,-7292.72,1409.95)
(82,326.246,7259.25)
(83,-2625.65,3798.31)
(84,-2800.44,3756.83)
(85,-5913.9,5698.96)
(86,-4559.33,3909.39)
(87,-7017.51,3754.39)
(88,-5987.74,493.594)
(89,-5990.18,2939.77)
(90,-3906.5,7115.81)
(91,-3390.89,-421.206)
(92,-3428.14,-375.172)
(93,-5747.22,6315.54)
(94,-6263.72,63.4923)
(95,-5750.78,-353.933)
(96,-5749.78,5763.68)
(97,-2521.01,6622.77)
(98,-4256.32,-634.923)
(99,-4394.76,-781.033)
(100,-6489.56,3932.63)
(101,-3022.06,7734.39)
(102,401.191,-84.3969)
(103,-7534.79,4550.54)
(104,-4093.2,2578.72)
(105,-5664.83,5932.25)
(106,-1125.4,3501.19)
(107,-6083.81,4615.26)
(108,115.198,3268.8)
(109,-4474.04,325.134)
(110,-6274.62,3033.4)
(111,-639.26,1545.5)
(112,-6763.43,3305.16)
(113,13.2322,1560.29)
(114,-7819.45,4903.14)
(115,-6799.79,2916.87)
(116,-2190.98,3790.41)
(117,-5140.1,533.958)
(118,-3576.47,5037.24)
(119,-3069.2,-73.1663)
(120,-4410.32,2987.59)
(121,-4431.45,3823.88)
(122,-5442.32,1986.94)
(123,-5718.98,4599.24)
(124,-1993.06,-1.00075)
